review_text,label
"The glasses are exactly as advertised, and good quality as well!",1
Love being able to take this holster on and off easily when getting in or out of my work truck. I carry my pistol while working construction and it has never fallen out nor had any other problems. This is really a great holster.,1
very cool loved it looks great,1
12$ for a photo print!!!,1
Beautiful exactly as expected!!,1
Terrible product. Stiff and cheap.,0
See my other review for the Patriotic Flower collar.<br /><br />Ranger feels GROOVY in his color.,1
Beautifully made and quickly shipped. It was quite popular at our wedding and the pens that came with it were of great quality!,1
These far exceeded my expectations. They came beautifully packaged with love and care &lt;3 The paper has amazing texture and the words look as if they are done by hand. I will be ordering more prints from this artist!,1
"Wonderfully made, comfortable and beautiful ottoman that I’m using in my living room. Very pleased.",1
This key  chain looks great and is obviously well-made. It holds my Aldi quarter securely in place. The only problem is that I keep giving my cart to people going in and have to replace the quarter! :),1
I have ordered probably 25-30 different pieces from this company and never have I had an issue. They have all been absolutely amazing.  I just wish it didnt take so long in shipping from overseas. But it is worth the wait for this new up and coming jeweler.,1
Exactly what I was looking for,1
My mom loved this bag instead of a flimsy paper bag for her birthday gift. She will reuse this one for sure.,1
the picture does not do it justice...Fun and pretty,1
"I have been looking for what to put inside a cryptex that I had bought some time ago for my niece.  I did not want to put money in it as it was just too much of an uncle's gift and she is getting that anyway.  This is the perfect fit.  It is original: a tiny bottle with (fake) leprechaun gold inside a cryptex !  The order arrived a few days after my order.  It is exactly what it is shown.  I got the longer chain, as it can always be cut if it is too long.  I actually ordered three of them as I thought that they could complement other gifts very well. I am extremely happy with my purchase.",1
This was my grandson's favorite Christmas gift. He wanted new jeans to wear with it before heading back to school.  He wears a boys size 12 slim and the size small buckle looks perfect on him.,1
This was gift for my future SIL who is a science teacher.  I framed them and they looked great!  He loved the set of 4 and is looking forward to hanging them in his new home.  I was really pleased with the prints.,1
"It's a lovely bracelet for dudes who like to wear bracelets. I tried it for a while but decided I just wasn't hipster nor hippie enough to pull it off. Not the fault of the product though, it looks great if that's what you're in to.",1
Pretty upset the twine is tied through two holes at the top. The pictures made it appear to be secured to the back. And the pictures DO NOT show there are two holes. Beautiful piece but I'm not looking to hang it so the twine serves no purpose for me. The knots really take away from it.,0
Included the states I asked for. Thank you!!!,1
Looks great! Feels great Fit right to the hand (no the biggest wrist) .<br />good produt,1
It’s so cute,1
Like it on my porch. It is pretty accurate too.,1
I just received my order yesterday.  The product is excellent quality.  My family will get a lot of use out of this.,1
Constantly falls off,0
"Wonderful card, delivered on time.",1
Like the print not the textyres paper,0
I LOVED this. I wish I could give a 4.9. The only thing I didn’t love was the black paint was inconsistent. Some of the sides were painted and some were left undone. Even one side would occasionally only be partially painted. I feel like I need to go touch it up. It literally made my husband cry happy tears when I gave it to him though. It’s beautiful even with the sides not being consistent.,1
I bought these for my daughters room. She is obsessed with dinosaurs and this was so fitting for her! Really great quality and really beautiful pieces :),1
A gift for my stylist. She loved it.,1
Love that it is carefully hand made with the magic of copper and history. Ready for gifting in a nice box with rune interpretation.  My husband appreciated the runes and takes it off only for cleaning.,1
My daughter loves this keychain!,1
I’m so excited to hang these in my little ones nursery they are beyond adorable the quality is incredible! I love them so much,1
"The matches are the same length of those in a convenient matchbox, so it is actually a tiny bottle of matches that you can place in the center of a palm.",1
Mother’s Day gift,1
"I'm so pleased with this print! The colors are beautiful - muted but not dull. This is my second purchase from this seller, and I would not hesitate to recommend or make additional purchases. Can't wait to find the perfect frame.",1
This is such a trophy 🏆 like gift. My Godson whom is autistic loves 20 Century Fox and when he seen his name on it he lit up🖤,1
Nice!,1
Loved it! Amazing quality and lasts forever.,1
I love this pendant it matches the ring beautifully. Great with gray and black clothes. Highly recommend. 👍👍👍👍👍👍👍👍👍,1
Cute as can be.,1
The scent is very nice and pleasing. Subtle but does the job. I will be ordering more. I recommend this product.,1
Very pleased,1
"Was an add on to anniversary gifts, and it was the right material as well, Wife loved it",1
It is a little hard to peel and not have creases and one of the antennas came off of the butterfly. But very beautiful colors and the name came out nice. My daughter loves it,1
very happy with the bag ! the extra organizer piece not so much . not what I expected. way smaller.,1
